House_ID,Location,Bedrooms,Bathrooms,Balconies,Area_sqft,Furnishing,Parking,Age_of_Property,Floor,Total_Floors,House_Type,Price_INR
H0327,Hyderabad,1,1,2,1581,Furnished,0,10,1,10,Apartment,6140475
H0328,Kolkata,1,1,1,1550,Semi-Furnished,1,4,12,15,Villa,1599830
H0329,Coimbatore,4,4,2,1210,Furnished,1,0,6,14,Independent House,14844485
H0330,Coimbatore,5,4,2,1173,Furnished,1,8,13,19,Apartment,11954961
H0331,Chennai,5,4,1,2933,Furnished,0,16,3,11,Apartment,24348439
H0332,Chennai,2,3,3,1588,Furnished,0,21,3,11,Villa,17574206
H0333,Mumbai,3,3,3,1058,Unfurnished,1,0,6,6,Villa,15044712
H0334,Hyderabad,5,4,2,3883,Furnished,0,2,13,19,Villa,21183591
H0335,Delhi,1,3,3,2773,Semi-Furnished,1,14,3,16,Apartment,2819021
H0336,Coimbatore,5,3,2,2122,Semi-Furnished,0,25,13,7,Villa,23646962
H0337,Pune,2,1,3,3072,Furnished,0,20,11,16,Independent House,19429415
H0338,Hyderabad,2,1,2,3201,Semi-Furnished,2,25,10,10,Apartment,20866113
H0339,Mumbai,3,3,3,3257,Furnished,1,22,6,7,Villa,14644094
H0340,Mumbai,5,4,0,2584,Semi-Furnished,2,29,5,6,Independent House,23438274
H0341,Hyderabad,1,2,1,2166,Semi-Furnished,2,9,4,8,Independent House,19872380
H0342,Mumbai,1,4,0,3829,Furnished,1,7,8,9,Villa,18919529
H0343,Hyderabad,4,2,1,2759,Furnished,1,11,2,15,Independent House,10311309
H0344,Bangalore,1,4,1,3049,Unfurnished,0,24,12,14,Apartment,13941373
H0345,Hyderabad,3,1,2,721,Furnished,1,21,14,13,Apartment,13074621
H0346,Kolkata,3,3,1,872,Furnished,2,14,11,7,Independent House,17950555
H0347,Hyderabad,1,3,0,1917,Unfurnished,2,26,7,7,Apartment,6860593
H0348,Mumbai,1,1,0,997,Furnished,1,8,4,10,Villa,4170111
H0349,Coimbatore,4,2,3,3118,Furnished,2,23,2,9,Independent House,3977512
H0350,Kolkata,1,2,0,1584,Unfurnished,0,24,7,10,Apartment,22229646
H0351,Mumbai,4,2,3,1830,Furnished,2,9,13,11,Villa,21018526
H0352,Chennai,4,1,1,1733,Furnished,0,19,1,15,Villa,6870777
H0353,Chennai,1,2,0,1901,Unfurnished,2,8,4,7,Apartment,21144182
H0354,Coimbatore,2,1,1,2510,Unfurnished,0,14,9,19,Independent House,12745002
H0355,Coimbatore,2,4,0,3216,Semi-Furnished,0,22,14,17,Villa,3407273
H0356,Kolkata,4,4,0,2105,Furnished,1,20,4,9,Villa,16191235
H0357,Bangalore,1,1,3,3785,Semi-Furnished,0,20,12,12,Villa,13507035
H0358,Coimbatore,2,3,1,2516,Semi-Furnished,1,0,13,8,Villa,14531293
H0359,Chennai,1,4,0,3544,Unfurnished,2,1,3,14,Independent House,12035708
H0360,Hyderabad,1,2,2,1419,Furnished,2,25,10,6,Apartment,12544773
H0361,Mumbai,1,1,1,3500,Furnished,2,18,10,8,Apartment,7149396
H0362,Chennai,5,2,1,3357,Unfurnished,0,29,2,6,Apartment,10800940
H0363,Chennai,1,2,1,2556,Semi-Furnished,2,13,14,7,Villa,3681752
H0364,Bangalore,5,3,3,2968,Unfurnished,2,7,3,8,Independent House,18412729
H0365,Kolkata,4,2,2,778,Furnished,1,5,1,8,Apartment,9999923
H0366,Kolkata,2,3,1,1496,Unfurnished,1,11,10,14,Independent House,5582564
H0367,Delhi,2,4,0,2866,Furnished,2,25,8,13,Apartment,6238707
H0368,Bangalore,2,1,0,3436,Semi-Furnished,2,26,1,14,Villa,13658029
H0369,Hyderabad,2,2,3,2572,Furnished,0,28,3,10,Apartment,24131788
H0370,Kolkata,2,1,0,2151,Semi-Furnished,0,14,14,13,Villa,17663853
H0371,Mumbai,2,2,1,1091,Semi-Furnished,2,13,3,8,Villa,5387239
H0372,Coimbatore,2,1,0,660,Furnished,1,20,13,13,Apartment,18946191
H0373,Bangalore,4,2,1,1677,Furnished,2,28,2,15,Independent House,11572142
H0374,Coimbatore,1,2,0,2303,Semi-Furnished,0,0,14,17,Villa,12028498
H0375,Chennai,3,2,2,3185,Unfurnished,1,27,5,13,Independent House,24286752
H0376,Mumbai,5,2,3,3495,Furnished,1,10,10,10,Apartment,1632053
H0377,Mumbai,3,2,3,3635,Semi-Furnished,0,27,3,9,Villa,6932561
H0378,Chennai,3,2,2,664,Semi-Furnished,2,24,3,7,Independent House,22431303
H0379,Bangalore,1,2,2,1185,Unfurnished,2,2,8,18,Villa,16523874
H0380,Chennai,1,2,3,2327,Furnished,2,18,4,19,Apartment,11807967
H0381,Coimbatore,1,2,2,2818,Semi-Furnished,0,17,4,9,Villa,24446166
H0382,Delhi,2,1,1,3944,Unfurnished,1,19,3,19,Apartment,7227961
H0383,Mumbai,4,3,0,1134,Semi-Furnished,0,27,11,7,Independent House,16691865
H0384,Pune,2,2,3,3340,Furnished,2,1,1,9,Villa,18287944
H0385,Pune,4,3,2,3998,Unfurnished,0,28,8,9,Independent House,6586588
H0386,Coimbatore,4,2,1,2755,Semi-Furnished,1,24,1,6,Apartment,24390439
H0387,Hyderabad,3,2,3,2470,Unfurnished,0,27,7,18,Apartment,12103376
H0388,Kolkata,3,1,2,3833,Furnished,2,25,5,18,Independent House,20592790
H0389,Chennai,4,4,3,3461,Unfurnished,1,6,4,13,Independent House,4419798
H0390,Chennai,4,4,2,1604,Furnished,0,7,4,19,Apartment,10927575
H0391,Hyderabad,2,1,3,3099,Semi-Furnished,0,18,8,11,Independent House,4339593
H0392,Hyderabad,2,3,1,1829,Furnished,1,21,11,18,Apartment,6549144
H0393,Coimbatore,3,4,1,3237,Semi-Furnished,1,14,11,10,Independent House,12282007
H0394,Coimbatore,1,1,0,1639,Semi-Furnished,2,9,13,9,Apartment,23745973
H0395,Hyderabad,4,1,3,926,Furnished,1,21,14,19,Apartment,2561999
H0396,Mumbai,2,4,0,1207,Semi-Furnished,2,28,6,8,Villa,21072533
H0397,Coimbatore,3,3,3,3306,Unfurnished,0,0,14,12,Apartment,5691533
H0398,Delhi,2,1,2,601,Semi-Furnished,2,5,12,6,Apartment,5434147
H0399,Coimbatore,4,2,2,1633,Furnished,0,12,1,12,Villa,9951587
H0400,Chennai,4,3,0,3081,Unfurnished,1,13,14,5,Villa,24344125
H0401,Coimbatore,5,3,3,724,Unfurnished,0,2,10,14,Independent House,24652577
H0402,Mumbai,1,4,0,1704,Semi-Furnished,1,10,8,5,Independent House,15814716
H0403,Hyderabad,5,4,1,3132,Semi-Furnished,0,2,13,7,Apartment,11014154
H0404,Chennai,3,2,0,3299,Furnished,0,18,14,9,Independent House,20438173
H0405,Coimbatore,2,1,0,2461,Unfurnished,0,9,2,18,Independent House,22591299
H0406,Mumbai,3,4,2,1773,Furnished,0,26,6,10,Apartment,3021876
H0407,Delhi,4,4,0,3447,Semi-Furnished,2,14,9,8,Villa,6104156
H0408,Coimbatore,5,3,3,3520,Unfurnished,0,10,1,11,Villa,24152116
H0409,Mumbai,5,4,2,728,Furnished,2,14,6,11,Apartment,16669027
H0410,Delhi,5,4,0,1037,Furnished,1,25,8,6,Apartment,6426528
H0411,Hyderabad,3,4,1,1350,Furnished,1,26,10,6,Apartment,1896605
H0412,Coimbatore,4,4,0,3148,Furnished,2,23,13,6,Apartment,23638201
H0413,Delhi,2,3,0,3729,Furnished,1,12,2,19,Apartment,8964567
H0414,Chennai,2,2,0,1821,Unfurnished,1,4,5,18,Apartment,17500242
H0415,Hyderabad,3,2,2,2858,Furnished,0,3,6,19,Independent House,11529953
H0416,Chennai,5,1,3,1501,Unfurnished,0,12,5,6,Independent House,6293480
H0417,Pune,1,4,1,2692,Furnished,0,8,3,17,Independent House,14683222
H0418,Bangalore,3,3,0,3768,Semi-Furnished,2,24,4,13,Villa,22014860
H0419,Coimbatore,3,1,3,1902,Semi-Furnished,2,16,7,18,Apartment,18210511
H0420,Delhi,4,1,3,3182,Furnished,1,1,4,9,Apartment,17396239
H0421,Bangalore,2,2,2,2033,Semi-Furnished,0,23,9,15,Independent House,9434968
H0422,Bangalore,3,3,1,3108,Unfurnished,2,4,11,12,Villa,14775944
H0423,Delhi,3,3,2,990,Furnished,2,15,12,9,Independent House,9606954
H0424,Hyderabad,5,3,3,1667,Unfurnished,0,6,14,17,Apartment,6219704
H0425,Coimbatore,5,2,3,626,Furnished,2,0,13,15,Apartment,10379100
H0426,Pune,1,2,3,3441,Semi-Furnished,0,27,13,9,Independent House,17710873
H0427,Chennai,4,2,2,3768,Unfurnished,1,25,10,5,Independent House,13869123
H0428,Mumbai,1,2,1,3622,Semi-Furnished,1,11,2,10,Apartment,5769865
H0429,Chennai,5,2,0,1147,Semi-Furnished,1,20,5,8,Independent House,17393794
H0430,Mumbai,2,4,2,3268,Furnished,0,10,8,19,Apartment,6336773
H0431,Chennai,5,4,3,1166,Unfurnished,2,11,14,7,Independent House,6279074
H0432,Delhi,4,3,2,1303,Semi-Furnished,1,18,5,10,Villa,15734874
H0433,Pune,5,1,3,1842,Furnished,1,25,10,6,Apartment,14992322
H0434,Coimbatore,4,3,0,784,Furnished,1,11,12,12,Villa,19267271
H0435,Mumbai,4,1,0,3740,Furnished,2,11,8,5,Independent House,14416302
H0436,Coimbatore,4,2,1,3801,Semi-Furnished,2,13,8,16,Villa,16308722
H0437,Coimbatore,4,1,3,2190,Furnished,0,1,9,13,Independent House,10433863
H0438,Coimbatore,4,3,1,2513,Unfurnished,1,1,10,12,Villa,17185008
H0439,Kolkata,2,3,1,1447,Unfurnished,2,24,6,5,Villa,17515040
H0440,Hyderabad,1,1,0,1198,Semi-Furnished,0,28,12,14,Villa,12699468
H0441,Chennai,3,4,2,1405,Unfurnished,1,3,4,16,Apartment,13976892
H0442,Coimbatore,1,2,2,1957,Furnished,2,19,12,19,Villa,8706009
H0443,Chennai,4,2,1,3825,Semi-Furnished,2,22,11,13,Independent House,7479212
H0444,Coimbatore,2,3,0,2726,Furnished,0,25,3,6,Independent House,22165655
H0445,Mumbai,5,4,3,3226,Semi-Furnished,1,15,12,7,Apartment,24387260
H0446,Hyderabad,2,1,2,2478,Semi-Furnished,1,9,14,6,Apartment,10627593
H0447,Hyderabad,4,2,1,3060,Furnished,2,12,5,17,Independent House,7775589
H0448,Delhi,2,4,2,1145,Unfurnished,1,1,6,18,Villa,22947876
H0449,Kolkata,2,2,2,2232,Unfurnished,0,2,3,12,Independent House,21818666
H0450,Delhi,4,4,3,2816,Semi-Furnished,2,18,2,6,Apartment,7889576
H0451,Delhi,2,4,0,3328,Furnished,2,5,7,14,Apartment,24196165
H0452,Delhi,3,3,3,3230,Furnished,0,18,11,6,Independent House,4311047
H0453,Delhi,3,2,0,3162,Semi-Furnished,2,26,5,19,Villa,17535624
H0454,Delhi,2,1,2,3985,Unfurnished,1,20,9,5,Villa,23765608
H0455,Pune,5,3,1,2679,Furnished,1,19,3,11,Apartment,14142233
H0456,Hyderabad,4,3,3,2934,Unfurnished,2,18,14,16,Independent House,17463495
H0457,Delhi,3,1,0,3241,Unfurnished,0,7,8,6,Independent House,2736236
H0458,Coimbatore,5,3,2,3714,Semi-Furnished,0,13,6,14,Apartment,5304178
H0459,Hyderabad,2,4,0,2526,Semi-Furnished,1,9,4,9,Independent House,11258559
H0460,Hyderabad,5,4,0,1216,Unfurnished,0,2,12,9,Apartment,11745168
H0461,Bangalore,1,2,0,3672,Furnished,2,5,12,7,Villa,5920047
H0462,Pune,3,2,2,2917,Furnished,2,28,9,7,Villa,21634243
H0463,Delhi,2,1,1,1803,Semi-Furnished,1,14,5,17,Independent House,8814257
H0464,Chennai,4,2,1,2359,Unfurnished,1,22,10,16,Villa,13985581
H0465,Mumbai,2,4,1,3165,Furnished,1,22,6,7,Villa,13318141
H0466,Kolkata,4,1,0,3774,Furnished,0,17,14,10,Apartment,9012129
H0467,Coimbatore,2,1,2,3681,Semi-Furnished,2,13,13,18,Apartment,14482220
H0468,Chennai,5,2,0,3230,Unfurnished,2,18,9,8,Independent House,20278970
H0469,Pune,5,4,1,3761,Furnished,2,27,7,17,Apartment,4253082
H0470,Mumbai,5,1,1,825,Semi-Furnished,1,25,12,7,Independent House,12915348
H0471,Pune,1,4,2,1269,Furnished,2,9,5,6,Independent House,17032339
H0472,Coimbatore,4,4,0,2363,Furnished,0,14,2,17,Apartment,5099696
H0473,Hyderabad,5,4,3,1516,Furnished,0,3,4,7,Villa,21754366
H0474,Mumbai,1,2,3,2773,Semi-Furnished,2,22,2,8,Villa,20244061
H0475,Hyderabad,4,3,1,3603,Unfurnished,1,1,3,10,Villa,19976435
H0476,Coimbatore,2,3,2,3880,Semi-Furnished,2,2,10,8,Villa,19564132
H0477,Chennai,1,1,0,3768,Unfurnished,0,6,12,12,Independent House,23806438
H0478,Coimbatore,3,4,0,2721,Furnished,0,22,3,7,Villa,9949809
H0479,Chennai,1,2,1,1814,Unfurnished,0,15,4,16,Independent House,24904087
H0480,Mumbai,1,4,1,2305,Furnished,2,9,6,7,Apartment,24781482
H0481,Mumbai,4,4,0,2442,Furnished,0,18,12,7,Apartment,3513279
H0482,Delhi,2,2,0,2583,Semi-Furnished,1,27,3,12,Independent House,15536081
H0483,Pune,3,3,1,655,Furnished,2,16,10,8,Villa,10623801
H0484,Delhi,5,4,0,1319,Semi-Furnished,2,27,14,5,Independent House,21276027
H0485,Pune,5,4,3,3200,Unfurnished,0,18,1,6,Villa,23620449
H0486,Delhi,1,3,1,2679,Unfurnished,0,4,1,17,Villa,5419059
H0487,Hyderabad,4,2,0,1173,Furnished,1,22,9,18,Independent House,23914975
H0488,Mumbai,4,1,1,1266,Semi-Furnished,2,19,9,14,Independent House,18447532
H0489,Chennai,5,3,2,883,Furnished,0,12,5,17,Villa,17155959
H0490,Pune,3,1,1,2344,Semi-Furnished,1,12,9,17,Independent House,2363996
H0491,Coimbatore,2,1,1,2834,Semi-Furnished,0,10,11,18,Villa,15085775
H0492,Pune,3,3,2,1097,Semi-Furnished,2,10,7,6,Independent House,11083333
H0493,Chennai,2,4,3,2065,Unfurnished,0,15,9,18,Apartment,12698969
H0494,Delhi,5,1,0,729,Semi-Furnished,2,14,12,7,Villa,15413263
H0495,Pune,2,1,2,1238,Unfurnished,0,16,7,10,Apartment,12446422
H0496,Kolkata,4,2,1,3963,Semi-Furnished,2,21,9,12,Independent House,6514236
H0497,Hyderabad,1,4,0,2761,Unfurnished,1,17,2,16,Apartment,22792579
H0498,Mumbai,1,1,2,3870,Unfurnished,2,27,11,5,Independent House,21329249
H0499,Chennai,5,2,0,2660,Unfurnished,1,18,11,13,Villa,9834206
H0500,Mumbai,4,4,0,3942,Furnished,2,3,8,5,Independent House,6583496
H0501,Kolkata,3,3,2,3886,Semi-Furnished,1,21,7,14,Independent House,10177649
H0502,Pune,4,3,0,3091,Furnished,0,21,6,6,Villa,22048871
H0503,Pune,1,2,3,3094,Semi-Furnished,2,22,5,7,Independent House,21534062
H0504,Coimbatore,1,3,2,1585,Semi-Furnished,0,4,4,11,Villa,7062344
H0505,Kolkata,4,1,3,1592,Furnished,1,6,7,13,Independent House,5373680
H0506,Chennai,4,4,1,3362,Unfurnished,2,1,3,7,Villa,6549025
H0507,Coimbatore,1,1,0,2721,Semi-Furnished,2,0,8,12,Apartment,4153381
H0508,Hyderabad,3,1,1,3184,Unfurnished,0,11,2,19,Independent House,8546492
H0509,Coimbatore,5,3,1,700,Furnished,2,9,1,13,Independent House,14228218
H0510,Bangalore,5,1,0,2823,Unfurnished,2,7,11,14,Independent House,20679537
H0511,Chennai,4,3,2,1026,Semi-Furnished,0,0,2,11,Villa,10429343
H0512,Bangalore,5,4,0,3788,Semi-Furnished,2,11,9,8,Independent House,7283881
H0513,Kolkata,1,4,1,3837,Semi-Furnished,0,1,5,8,Villa,8706757
H0514,Delhi,1,1,1,640,Furnished,0,26,11,8,Independent House,9631322
H0515,Bangalore,4,2,2,1028,Semi-Furnished,0,27,8,10,Apartment,4303627
H0516,Hyderabad,4,3,0,943,Furnished,0,9,3,8,Independent House,6696816
H0517,Coimbatore,4,3,1,965,Unfurnished,0,21,7,9,Apartment,18337050
H0518,Delhi,3,1,3,3791,Semi-Furnished,1,16,2,13,Villa,24126444
H0519,Coimbatore,5,3,1,1208,Semi-Furnished,1,25,8,16,Apartment,8713499
H0520,Bangalore,4,3,1,3304,Semi-Furnished,0,2,14,11,Independent House,24980745
H0521,Coimbatore,2,2,2,1327,Unfurnished,1,6,7,12,Independent House,9730362
H0522,Kolkata,2,2,3,2876,Semi-Furnished,1,11,12,9,Villa,9762900
H0523,Delhi,1,1,1,1424,Furnished,2,7,5,9,Independent House,7195265
H0524,Kolkata,5,2,1,3801,Unfurnished,0,19,12,17,Independent House,11089334
H0525,Bangalore,4,1,3,1975,Unfurnished,1,11,11,15,Villa,21161669
H0526,Kolkata,2,4,0,1488,Unfurnished,2,2,4,11,Villa,3768299
H0527,Hyderabad,5,1,0,2643,Unfurnished,2,16,1,15,Apartment,2642252
H0528,Bangalore,1,4,1,1941,Unfurnished,0,27,5,17,Villa,24048043
H0529,Bangalore,3,1,1,3631,Furnished,0,8,12,18,Independent House,21852530
H0530,Bangalore,5,3,0,3483,Unfurnished,2,9,9,16,Villa,19170536
H0531,Chennai,5,2,2,1896,Semi-Furnished,0,21,10,12,Independent House,9422505
H0532,Coimbatore,3,4,3,716,Unfurnished,0,5,4,13,Apartment,22064368
H0533,Chennai,5,1,3,3465,Unfurnished,2,24,13,19,Villa,20847505
H0534,Chennai,1,2,2,3015,Unfurnished,2,0,9,18,Independent House,17403463
H0535,Hyderabad,1,1,2,1717,Unfurnished,0,21,12,6,Villa,18268424
H0536,Delhi,3,2,2,767,Unfurnished,1,11,2,7,Villa,20510571
H0537,Coimbatore,4,2,2,3601,Furnished,0,4,4,16,Villa,17361070
H0538,Kolkata,2,1,2,2338,Furnished,1,12,9,16,Villa,12601198
H0539,Pune,4,4,2,1964,Unfurnished,2,26,4,6,Apartment,2999163
H0540,Bangalore,5,4,3,3308,Furnished,1,14,5,14,Independent House,8725206
H0541,Kolkata,2,3,2,1294,Semi-Furnished,2,21,11,11,Villa,5473369
H0542,Bangalore,3,2,0,1524,Unfurnished,0,29,8,16,Independent House,14388043
H0543,Hyderabad,3,3,2,751,Semi-Furnished,0,10,1,6,Apartment,6326616
H0544,Bangalore,2,3,2,1185,Semi-Furnished,2,7,1,16,Independent House,4106894
H0545,Chennai,1,1,3,1512,Unfurnished,2,4,9,18,Independent House,10455216
H0546,Coimbatore,2,1,3,2921,Semi-Furnished,2,1,9,19,Apartment,22744965
H0547,Pune,5,1,2,2177,Semi-Furnished,0,11,4,6,Villa,20580491
H0548,Mumbai,1,2,3,1095,Semi-Furnished,0,27,13,18,Independent House,14306322
H0549,Bangalore,3,1,1,2748,Unfurnished,1,1,2,18,Independent House,20500928
H0550,Kolkata,2,1,3,1156,Unfurnished,2,25,13,6,Villa,20265268
H0551,Chennai,4,2,3,1705,Semi-Furnished,1,15,9,19,Villa,20686969
H0552,Mumbai,4,2,3,2152,Unfurnished,0,20,14,16,Independent House,18914893
H0553,Pune,5,4,3,2720,Unfurnished,1,2,4,17,Apartment,20640704
H0554,Mumbai,4,1,0,3685,Semi-Furnished,1,9,6,8,Villa,2302560
H0555,Chennai,2,1,0,756,Unfurnished,0,18,12,5,Villa,12008596
H0556,Coimbatore,2,1,0,1334,Furnished,0,7,1,6,Apartment,15418469
H0557,Coimbatore,4,4,2,2779,Unfurnished,2,6,12,7,Independent House,6335620
H0558,Delhi,2,1,2,3666,Furnished,1,0,9,11,Villa,15416410
H0559,Coimbatore,5,4,1,2027,Semi-Furnished,0,11,5,14,Independent House,18646841
H0560,Delhi,1,3,0,1158,Unfurnished,0,28,3,5,Independent House,2703880
H0561,Mumbai,5,4,2,2754,Semi-Furnished,1,27,4,10,Independent House,21611282
H0562,Hyderabad,5,3,3,2912,Semi-Furnished,0,4,1,7,Apartment,17757710
H0563,Kolkata,2,1,3,3876,Semi-Furnished,2,15,14,7,Independent House,17683052
H0564,Kolkata,1,3,0,3750,Semi-Furnished,2,24,9,8,Independent House,7424555
H0565,Mumbai,2,4,1,754,Semi-Furnished,1,3,14,17,Villa,18549412
H0566,Bangalore,3,2,1,3635,Unfurnished,2,16,8,8,Villa,3354529
H0567,Bangalore,2,3,3,1596,Furnished,0,23,4,11,Apartment,15856282
H0568,Coimbatore,2,3,1,2894,Unfurnished,0,20,2,7,Apartment,12199587
H0569,Kolkata,2,1,0,1130,Unfurnished,0,1,14,12,Villa,17560474
H0570,Kolkata,1,4,3,3505,Unfurnished,0,11,9,12,Villa,12545594
H0571,Delhi,2,3,2,2571,Unfurnished,1,0,4,15,Apartment,6429009
H0572,Hyderabad,1,3,2,3185,Furnished,2,29,9,17,Independent House,1657044
H0573,Chennai,4,3,1,1328,Unfurnished,2,11,10,11,Apartment,24149097
H0574,Bangalore,3,3,3,1777,Semi-Furnished,0,11,3,6,Independent House,13289964
H0575,Kolkata,1,2,3,753,Unfurnished,1,11,7,9,Villa,10884171
H0576,Delhi,4,4,2,691,Unfurnished,0,18,7,10,Villa,5627617
H0577,Pune,1,1,3,2985,Furnished,0,24,10,16,Villa,9466937
H0578,Delhi,1,1,3,2103,Furnished,1,16,13,14,Independent House,21444974
H0579,Bangalore,3,2,3,2316,Semi-Furnished,1,19,4,8,Apartment,3506456
H0580,Bangalore,5,4,1,3802,Unfurnished,0,23,2,17,Independent House,4735559
H0581,Delhi,5,3,3,3097,Unfurnished,2,23,11,14,Apartment,24646072
H0582,Chennai,1,2,0,2616,Unfurnished,0,25,9,9,Apartment,20352814
H0583,Mumbai,2,4,1,3457,Semi-Furnished,2,27,4,18,Apartment,9835948
H0584,Bangalore,4,3,3,1386,Furnished,2,10,8,13,Villa,12265959
H0585,Delhi,2,2,3,872,Semi-Furnished,1,12,14,15,Apartment,22963956
H0586,Kolkata,2,4,0,2627,Unfurnished,1,26,2,11,Villa,4540149
H0587,Delhi,1,1,1,3235,Furnished,0,7,8,6,Apartment,23898764
H0588,Hyderabad,1,1,2,776,Furnished,2,9,11,15,Apartment,23440081
H0589,Mumbai,1,4,2,3478,Semi-Furnished,2,7,10,5,Villa,18051325
H0590,Pune,1,1,1,1242,Furnished,0,19,5,6,Villa,16397853
H0591,Chennai,5,4,3,2498,Furnished,0,7,7,7,Independent House,15707660
H0592,Coimbatore,1,3,3,3720,Unfurnished,0,8,7,15,Apartment,15122818
H0593,Pune,5,4,2,1166,Unfurnished,1,6,12,6,Villa,14159409
H0594,Mumbai,5,3,2,1265,Furnished,0,13,9,15,Independent House,18452964
H0595,Mumbai,1,2,2,1931,Furnished,0,27,3,7,Independent House,10242392
H0596,Mumbai,3,4,0,3515,Semi-Furnished,2,1,10,14,Villa,22681637
H0597,Pune,4,2,2,2398,Semi-Furnished,0,24,4,19,Apartment,2555677
H0598,Kolkata,2,1,0,1669,Furnished,2,10,10,15,Independent House,3921791
H0599,Mumbai,5,3,1,2949,Unfurnished,2,7,4,15,Apartment,5043687
H0600,Delhi,4,4,3,3515,Furnished,1,12,13,19,Apartment,5308102
H0601,Pune,3,2,2,3559,Furnished,0,20,10,16,Independent House,21983412
H0602,Coimbatore,2,3,3,1007,Unfurnished,0,14,5,18,Villa,24363505
H0603,Mumbai,2,3,3,1812,Unfurnished,2,27,14,16,Apartment,12176366
H0604,Delhi,5,1,2,3469,Semi-Furnished,1,2,6,13,Villa,15718985
H0605,Kolkata,1,1,2,2453,Semi-Furnished,1,22,3,8,Independent House,13807865
H0606,Hyderabad,3,3,1,1752,Semi-Furnished,0,13,13,16,Apartment,5342996
H0607,Kolkata,5,3,0,3208,Semi-Furnished,2,29,4,13,Villa,15502207
H0608,Coimbatore,3,4,0,3937,Unfurnished,0,14,3,15,Villa,17017414
H0609,Mumbai,1,3,3,1741,Furnished,0,1,2,7,Apartment,11862907
H0610,Coimbatore,1,4,2,3111,Semi-Furnished,0,28,10,16,Villa,17366875
H0611,Pune,5,3,1,743,Semi-Furnished,0,18,12,5,Villa,13167878
H0612,Bangalore,1,1,1,3089,Unfurnished,2,11,9,15,Independent House,8817994
H0613,Mumbai,4,4,1,3871,Unfurnished,1,24,1,9,Independent House,1909759
H0614,Bangalore,2,2,1,3828,Furnished,0,19,2,14,Villa,7941804
H0615,Delhi,5,1,1,1086,Furnished,0,3,8,14,Villa,14775153
H0616,Hyderabad,3,4,0,1459,Unfurnished,0,2,7,18,Apartment,21764038
H0617,Chennai,4,4,0,3805,Semi-Furnished,0,4,12,6,Independent House,9896357
H0618,Coimbatore,5,2,0,2535,Semi-Furnished,1,2,1,8,Apartment,16990678
H0619,Kolkata,1,4,2,747,Semi-Furnished,1,24,5,6,Villa,20713962
H0620,Hyderabad,1,3,3,1959,Furnished,1,14,10,6,Apartment,13639167
H0621,Mumbai,1,2,1,3742,Semi-Furnished,1,18,6,17,Villa,11557959
H0622,Bangalore,1,1,2,3904,Semi-Furnished,0,1,5,7,Independent House,14312128
H0623,Kolkata,3,1,1,1957,Unfurnished,2,11,4,9,Independent House,6108903
H0624,Bangalore,4,3,0,3458,Semi-Furnished,1,4,14,8,Villa,18917762
H0625,Pune,2,1,2,3313,Unfurnished,1,21,13,6,Independent House,13715108
H0626,Bangalore,3,4,0,689,Semi-Furnished,0,16,1,19,Villa,10950365
H0627,Pune,3,4,1,1957,Furnished,0,13,7,15,Apartment,8884930
H0628,Delhi,2,3,1,798,Semi-Furnished,0,27,9,18,Villa,13824173
H0629,Kolkata,2,1,3,3832,Semi-Furnished,0,26,6,18,Apartment,8281076
H0630,Kolkata,1,1,1,1137,Unfurnished,2,21,3,14,Villa,8064462
H0631,Chennai,3,3,0,3792,Unfurnished,2,9,10,6,Independent House,15317239
H0632,Mumbai,5,2,1,900,Unfurnished,1,2,14,18,Villa,14373744
H0633,Pune,2,1,3,1323,Semi-Furnished,2,3,4,10,Villa,24092401
H0634,Chennai,2,2,3,2198,Semi-Furnished,1,5,10,11,Villa,2823659
H0635,Bangalore,4,1,0,3610,Furnished,1,23,5,16,Independent House,23483491
H0636,Bangalore,5,1,2,2059,Semi-Furnished,2,24,12,14,Villa,3963448
H0637,Chennai,5,1,1,667,Furnished,1,21,12,10,Independent House,16481793
H0638,Kolkata,2,1,3,3106,Unfurnished,0,15,1,11,Villa,22849979
H0639,Bangalore,1,4,1,2137,Unfurnished,1,6,5,5,Apartment,17333087
H0640,Coimbatore,4,2,1,997,Unfurnished,0,14,1,10,Villa,21662378
H0641,Delhi,5,2,2,1219,Furnished,2,29,9,15,Apartment,10912812
H0642,Delhi,2,1,3,3957,Semi-Furnished,2,20,7,7,Independent House,3838299
H0643,Coimbatore,5,1,1,2184,Unfurnished,1,29,3,5,Independent House,19481129
H0644,Chennai,4,2,3,1763,Semi-Furnished,0,27,9,12,Villa,12240503
H0645,Coimbatore,4,4,0,1329,Semi-Furnished,1,24,2,8,Independent House,16883616
H0646,Pune,3,3,0,1155,Unfurnished,2,19,12,14,Villa,15815516
H0647,Pune,2,3,1,2552,Furnished,1,25,7,12,Independent House,13539284
H0648,Chennai,4,2,3,3428,Semi-Furnished,1,10,9,14,Apartment,7102459
H0649,Coimbatore,3,1,1,2351,Unfurnished,0,21,6,18,Independent House,9897905
H0650,Pune,3,1,3,3541,Semi-Furnished,2,20,10,15,Apartment,21289633
H0651,Kolkata,5,4,3,3257,Semi-Furnished,1,0,5,8,Villa,24758178
H0652,Coimbatore,5,3,2,3395,Semi-Furnished,0,4,12,8,Villa,20308045
H0653,Kolkata,3,4,2,2929,Semi-Furnished,1,12,7,16,Villa,14737854
H0654,Pune,5,3,2,3308,Semi-Furnished,0,20,14,18,Apartment,2738831
